id,page,raw_text,clean_text,title,theme,text_type,notes
page_1,1,"ANKARA - 2023
TÜRKÇE
8
DERS KİTABI
YAZAR
Osman BABADAĞ
",ANKARA - 2023 TÜRKÇE 8 DERS KİTABI YAZAR Osman BABADAĞ,,,,
page_2,2,"Görsel Tasarım Uzmanı
Fatih SAĞLAM
YÜMER
Grafik Tasarım Uzmanı
YÜMER
MEB HAYAT BOYU ÖĞRENME GENEL MÜDÜRLÜĞÜ YAYINLARI
AÇIK ÖĞRETİM OKULLARI
Copyright  c  MEB
Her hakkı saklıdır. MillÎ Eğitim Bakanlığına aittir. Tümü ya da bölümleri izin 
alınmadan hiçbir şekilde çoğaltılamaz, basılamaz ve dağıtılamaz.
","Görsel Tasarım Uzmanı Fatih SAĞLAM YÜMER Grafik Tasarım Uzmanı YÜMER MEB HAYAT BOYU ÖĞRENME GENEL MÜDÜRLÜĞÜ YAYINLARI AÇIK ÖĞRETİM OKULLARI Copyright c MEB Her hakkı saklıdır. MillÎ Eğitim Bakanlığına aittir. Tümü ya da bölümleri izin alınmadan hiçbir şekilde çoğaltılamaz, basılamaz ve dağıtılamaz.",,,,
page_3,3,"İSTİKLÂL MARŞI
Korkma, sönmez bu şafaklarda yüzen al sancak;
Sönmeden yurdumun üstünde tüten en son ocak.
O benim milletimin yıldızıdır, parlayacak;
O benimdir, o benim milletimindir ancak.
Çatma, kurban olayım, çehreni ey nazlı hilâl!
Kahraman ırkıma bir gül! Ne bu şiddet, bu celâl?
Sana olmaz dökülen kanlarımız sonra helâl.
Hakkıdır Hakk’a tapan milletimin istiklâl.
Ben ezelden beridir hür yaşadım, hür yaşarım.
Hangi çılgın bana zincir vuracakmış? Şaşarım!
Kükremiş sel gibiyim, bendimi çiğner, aşarım.
Yırtarım dağları, enginlere sığmam, taşarım.
Garbın âfâkını sarmışsa çelik zırhlı duvar,
Benim iman dolu göğsüm gibi serhaddim var.
Ulusun, korkma! Nasıl böyle bir imanı boğar,
Medeniyyet dediğin tek dişi kalmış canavar?
Arkadaş, yurduma alçakları uğratma sakın;
Siper et gövdeni, dursun bu hayâsızca akın.
Doğacaktır sana va’dettiği günler Hakk’ın;
Kim bilir, belki yarın, belki yarından da yakın.
Bastığın yerleri toprak diyerek geçme, tanı:
Düşün altındaki binlerce kefensiz yatanı.
Sen şehit oğlusun, incitme, yazıktır, atanı:
Verme, dünyaları alsan da bu cennet vatanı.
Kim bu cennet vatanın uğruna olmaz ki feda?
Şüheda fışkıracak toprağı sıksan, şüheda!
Cânı, cânânı, bütün varımı alsın da Huda,
Etmesin tek vatanımdan beni dünyada cüda.
Ruhumun senden İlâhî, şudur ancak emeli:
Değmesin mabedimin göğsüne nâmahrem eli.
Bu ezanlar -ki şehadetleri dinin temeli-
Ebedî yurdumun üstünde benim inlemeli.
O zaman vecd ile bin secde eder -varsa- taşım,
Her cerîhamdan İlâhî, boşanıp kanlı yaşım,
Fışkırır ruh-ı mücerret gibi yerden na’şım;
O zaman yükselerek arşa değer belki başım.
Dalgalan sen de şafaklar gibi ey şanlı hilâl!
Olsun artık dökülen kanlarımın hepsi helâl.
Ebediyyen sana yok, ırkıma yok izmihlâl;
Hakkıdır hür yaşamış bayrağımın hürriyet;
Hakkıdır Hakk’a tapan milletimin istiklâl!
Mehmet Âkif ERSOY
","İSTİKLÂL MARŞI Korkma, sönmez bu şafaklarda yüzen al sancak; Sönmeden yurdumun üstünde tüten en son ocak. O benim milletimin yıldızıdır, parlayacak; O benimdir, o benim milletimindir ancak. Çatma, kurban olayım, çehreni ey nazlı hilâl! Kahraman ırkıma bir gül! Ne bu şiddet, bu celâl? Sana olmaz dökülen kanlarımız sonra helâl. Hakkıdır Hakk’a tapan milletimin istiklâl. Ben ezelden beridir hür yaşadım, hür yaşarım. Hangi çılgın bana zincir vuracakmış? Şaşarım! Kükremiş sel gibiyim, bendimi çiğner, aşarım. Yırtarım dağları, enginlere sığmam, taşarım. Garbın âfâkını sarmışsa çelik zırhlı duvar, Benim iman dolu göğsüm gibi serhaddim var. Ulusun, korkma! Nasıl böyle bir imanı boğar, Medeniyyet dediğin tek dişi kalmış canavar? Arkadaş, yurduma alçakları uğratma sakın; Siper et gövdeni, dursun bu hayâsızca akın. Doğacaktır sana va’dettiği günler Hakk’ın; Kim bilir, belki yarın, belki yarından da yakın. Bastığın yerleri toprak diyerek geçme, tanı: Düşün altındaki binlerce kefensiz yatanı. Sen şehit oğlusun, incitme, yazıktır, atanı: Verme, dünyaları alsan da bu cennet vatanı. Kim bu cennet vatanın uğruna olmaz ki feda? Şüheda fışkıracak toprağı sıksan, şüheda! Cânı, cânânı, bütün varımı alsın da Huda, Etmesin tek vatanımdan beni dünyada cüda. Ruhumun senden İlâhî, şudur ancak emeli: Değmesin mabedimin göğsüne nâmahrem eli. Bu ezanlar -ki şehadetleri dinin temeli- Ebedî yurdumun üstünde benim inlemeli. O zaman vecd ile bin secde eder -varsa- taşım, Her cerîhamdan İlâhî, boşanıp kanlı yaşım, Fışkırır ruh-ı mücerret gibi yerden na’şım; O zaman yükselerek arşa değer belki başım. Dalgalan sen de şafaklar gibi ey şanlı hilâl! Olsun artık dökülen kanlarımın hepsi helâl. Ebediyyen sana yok, ırkıma yok izmihlâl; Hakkıdır hür yaşamış bayrağımın hürriyet; Hakkıdır Hakk’a tapan milletimin istiklâl! Mehmet Âkif ERSOY",,,,
page_4,4,"Mustafa Kemal Atatürk
     GENÇLİĞE HİTABE
Ey Türk gençliği! Birinci vazifen, Türk istiklâlini, Türk Cumhuriyetini, ilelebet 
muhafaza ve müdafaa etmektir. 
Mevcudiyetinin ve istikbalinin yegâne temeli budur. Bu temel, senin en kıymetli 
hazinendir. İstikbalde dahi, seni bu hazineden mahrumetmek isteyecek dâhilî ve 
hâricî bedhahların olacaktır. Bir gün, istiklâl ve cumhuriyeti müdafaa 
mecburiyetine düşersen, vazifeye atılmak için, içinde bulunacağın vaziyetin imkân 
ve şeraitini düşünmeyeceksin! Bu imkân ve şerait, çok namüsait bir mahiyette 
tezahür edebilir. İstiklâl ve cumhuriyetine kastedecek düşmanlar, bütün dünyada 
emsali görülmemiş bir galibiyetin mümessili olabilirler. Cebren ve hile ile aziz 
vatanın bütün kaleleri zapt edilmiş, bütün tersanelerine girilmiş, bütün orduları 
dağıtılmış ve memleketin her köşesi bilfiil işgal edilmiş olabilir. Bütün bu şeraitten 
daha elîm ve daha vahim olmak üzere, memleketin dâhilinde iktidara sahip olanlar 
gaflet ve dalâlet ve hattâ hıyanet içinde bulunabilirler. Hattâ bu iktidar sahipleri 
şahsî menfaatlerini, müstevlîlerin siyasî emelleriyle tevhit edebilirler. Millet, fakr u 
zaruret içinde harap ve bîtap düşmüş olabilir.
Ey Türk istikbalinin evlâdı! İşte, bu ahval ve şerait içinde dahi vazifen, Türk 
istiklâl ve cumhuriyetini kurtarmaktır. Muhtaç olduğun kudret, damarlarındaki  
asil kanda mevcuttur.
","Mustafa Kemal Atatürk GENÇLİĞE HİTABE Ey Türk gençliği! Birinci vazifen, Türk istiklâlini, Türk Cumhuriyetini, ilelebet muhafaza ve müdafaa etmektir. Mevcudiyetinin ve istikbalinin yegâne temeli budur. Bu temel, senin en kıymetli hazinendir. İstikbalde dahi, seni bu hazineden mahrumetmek isteyecek dâhilî ve hâricî bedhahların olacaktır. Bir gün, istiklâl ve cumhuriyeti müdafaa mecburiyetine düşersen, vazifeye atılmak için, içinde bulunacağın vaziyetin imkân ve şeraitini düşünmeyeceksin! Bu imkân ve şerait, çok namüsait bir mahiyette tezahür edebilir. İstiklâl ve cumhuriyetine kastedecek düşmanlar, bütün dünyada emsali görülmemiş bir galibiyetin mümessili olabilirler. Cebren ve hile ile aziz vatanın bütün kaleleri zapt edilmiş, bütün tersanelerine girilmiş, bütün orduları dağıtılmış ve memleketin her köşesi bilfiil işgal edilmiş olabilir. Bütün bu şeraitten daha elîm ve daha vahim olmak üzere, memleketin dâhilinde iktidara sahip olanlar gaflet ve dalâlet ve hattâ hıyanet içinde bulunabilirler. Hattâ bu iktidar sahipleri şahsî menfaatlerini, müstevlîlerin siyasî emelleriyle tevhit edebilirler. Millet, fakr u zaruret içinde harap ve bîtap düşmüş olabilir. Ey Türk istikbalinin evlâdı! İşte, bu ahval ve şerait içinde dahi vazifen, Türk istiklâl ve cumhuriyetini kurtarmaktır. Muhtaç olduğun kudret, damarlarındaki asil kanda mevcuttur.",,,,
page_5,5,"MUSTAFA KEMAL ATATÜRK
",MUSTAFA KEMAL ATATÜRK,,,,
page_6,6,,,,,,
page_7,7,"İÇİNDEKİLER
1.TEMA: DOĞA VE EVREN
3.TEMA: ERDEMLER
2.TEMA:  MILLÎ KÜLTÜRÜMÜZ
İlkbahar ......................................................................................................................................... 12
Rize'de Sel ..................................................................................................................................... 16
Tilki ................................................................................................................................................ 25
Ölçme ve Değerlendirme Soruları.............................................................................................. 39
Sarı Sıcak ....................................................................................................................................... 72
Hınk Davası .................................................................................................................................. 87
Dostluk Derken ............................................................................................................................ 90
Ölçme ve Değerlendirme Soruları.............................................................................................. 102
Olamam ......................................................................................................................................... 44
Dükkânlarına Alamet Koyan Çarşı Esnafı  ............................................................................... 48
Oğuz Kağan Destanı .................................................................................................................... 53
Ölçme ve Değerlendirme Soruları.............................................................................................. 67
",İÇİNDEKİLER 1.TEMA: DOĞA VE EVREN 3.TEMA: ERDEMLER 2.TEMA: MILLÎ KÜLTÜRÜMÜZ İlkbahar ......................................................................................................................................... 12 Rize'de Sel ..................................................................................................................................... 16 Tilki ................................................................................................................................................ 25 Ölçme ve Değerlendirme Soruları.............................................................................................. 39 Sarı Sıcak ....................................................................................................................................... 72 Hınk Davası .................................................................................................................................. 87 Dostluk Derken ............................................................................................................................ 90 Ölçme ve Değerlendirme Soruları.............................................................................................. 102 Olamam ......................................................................................................................................... 44 Dükkânlarına Alamet Koyan Çarşı Esnafı ............................................................................... 48 Oğuz Kağan Destanı .................................................................................................................... 53 Ölçme ve Değerlendirme Soruları.............................................................................................. 67,,,,
page_8,8,"6. TEMA: OKUMA
5. TEMA: MILLÎ MÜCADELE
Atatürk Kurtuluş Savaşı'nda ....................................................................................................... 128
Mustafa Kemal Paşa ..................................................................................................................... 133
İlber Ortaylı ile Röportaj ............................................................................................................. 138
Ölçme ve Değerlendirme Soruları.............................................................................................. 148
Türk Dili ........................................................................................................................................ 152
Yaşam Boyu Kullanacağımız Bir Araç........................................................................................ 158
Sait Faik'le Bir Görüşme  ............................................................................................................. 163
Ölçme ve Değerlendirme Soruları.............................................................................................. 174
4.TEMA:  ILETIŞIM
Sürekli İletişim İçindeyiz ............................................................................................................ 106
Selam Ver....................................................................................................................................... 112
İletişim ve Hız ............................................................................................................................... 115
Ölçme ve Değerlendirme Soruları.............................................................................................. 127
",6. TEMA: OKUMA 5. TEMA: MILLÎ MÜCADELE Atatürk Kurtuluş Savaşı'nda ....................................................................................................... 128 Mustafa Kemal Paşa ..................................................................................................................... 133 İlber Ortaylı ile Röportaj ............................................................................................................. 138 Ölçme ve Değerlendirme Soruları.............................................................................................. 148 Türk Dili ........................................................................................................................................ 152 Yaşam Boyu Kullanacağımız Bir Araç........................................................................................ 158 Sait Faik'le Bir Görüşme ............................................................................................................. 163 Ölçme ve Değerlendirme Soruları.............................................................................................. 174 4.TEMA: ILETIŞIM Sürekli İletişim İçindeyiz ............................................................................................................ 106 Selam Ver....................................................................................................................................... 112 İletişim ve Hız ............................................................................................................................... 115 Ölçme ve Değerlendirme Soruları.............................................................................................. 127,,,,
page_9,9,"7.TEMA: SANAT
8.TEMA: ZAMAN VE MEKÂN
Âşık Veysel'e Selam ...................................................................................................................... 178
Mesut İnsanlar Fotoğrafhanesi.................................................................................................... 183
Bina ................................................................................................................................................ 190
Ölçme ve Değerlendirme Soruları.............................................................................................. 202
Bir Oda Bir Saat Sesi .................................................................................................................... 208
Bu Güzel İşi Kim Düşündü? ....................................................................................................... 212
Çalıkuşu Yuvası  ........................................................................................................................... 218
Ölçme ve Değerlendirme Soruları.............................................................................................. 226
Cevap Anahtarı............................................................................................................................. 228
Kaynakça ....................................................................................................................................... 230
",7.TEMA: SANAT 8.TEMA: ZAMAN VE MEKÂN Âşık Veysel'e Selam ...................................................................................................................... 178 Mesut İnsanlar Fotoğrafhanesi.................................................................................................... 183 Bina ................................................................................................................................................ 190 Ölçme ve Değerlendirme Soruları.............................................................................................. 202 Bir Oda Bir Saat Sesi .................................................................................................................... 208 Bu Güzel İşi Kim Düşündü? ....................................................................................................... 212 Çalıkuşu Yuvası ........................................................................................................................... 218 Ölçme ve Değerlendirme Soruları.............................................................................................. 226 Cevap Anahtarı............................................................................................................................. 228 Kaynakça ....................................................................................................................................... 230,,,,
page_10,10,"1. TEMA
DOĞA VE EVREN
",1. TEMA DOĞA VE EVREN,,,,
